tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total cell count,Trans. 700 nm,LED 3 [525 nm],LED 4 [570 nm],LED 5 [610 nm],LED 6 [370 nm],LED 7 [590 nm],LED 8 [470 nm],Pressure,Temp. LEDs,Temp. Sensor
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,r.u.,cells/ml,digits,digits,digits,digits,digits,digits,digits,bar,°C,°C
37,2018-08-02 12:04,17.58,1.15,0,0.35,2.01,19.08,85.9,0.27,25.04,9316,1154,0,11,0,0,0,0,10480,525.54,17.25,6.53,15.71,49.7,20.93,70.89,1.03,26.43,27.58
38,2018-08-02 12:04,18.19,1.3,0,0.83,1.95,20.32,84.86,0.27,24.99,9641,1298,0,25,0,0,0,0,10963,519.17,19.77,6.09,17.94,50.78,24,74.28,1.03,26.54,27.7
39,2018-08-02 12:04,20.96,1.29,0,0.31,2.03,22.56,85.75,0.28,25.12,11111,1292,0,9,0,0,0,0,12412,524.62,18.84,7.06,18.02,54.51,23.43,80.39,1.03,26.5,27.74
40,2018-08-02 12:04,14.44,0.49,0,0.5,1.81,15.43,86.06,0.28,25.12,7654,488,0,15,0,0,0,0,8157,526.48,14.79,6.82,11.65,43,17.07,60.62,1.03,26.54,27.81
41,2018-08-02 12:04,17.16,0.87,1.25,0,1.29,19.28,86.48,0.27,25.11,9093,875,561,0,0,0,0,0,10529,529.07,16.32,5.11,15.01,41.57,17.77,65.68,1.03,26.56,27.9
42,2018-08-02 12:04,10.59,0.74,0,0.5,1.43,11.83,86.42,0.29,25.29,5610,745,0,15,0,0,0,0,6370,528.67,12.57,5.09,10.1,33.34,15.31,46.26,1.03,26.58,27.93
43,2018-08-02 12:04,7.32,0.43,0,0.55,1.98,8.31,86.02,0.27,25.3,3880,434,0,17,0,0,0,0,4331,526.24,12.32,5.02,7.76,35.45,12.61,42.59,1.03,26.65,28.26
44,2018-08-02 12:04,7.2,1.17,0,0.37,1.88,8.74,85.51,0.27,25.3,3818,1168,0,11,0,0,0,0,4997,523.15,12.51,4.4,10.31,34.08,13.7,40.63,1.03,26.72,28.27
45,2018-08-02 12:04,4.71,0.06,0,0.98,1.31,5.75,87.21,0.26,25.37,2496,62,0,29,0,0,0,0,2588,533.54,11.26,3.03,6.42,24.43,10.48,30.72,1.03,26.79,28.33
46,2018-08-02 12:04,11.6,2.18,0,1.28,1.65,15.07,85.53,0.27,25.3,6149,2184,0,38,0,0,0,0,8372,523.28,18.18,8.25,17.43,40,25.17,55.24,1.03,26.74,28.36
47,2018-08-02 12:04,13.12,0.3,0,1.04,1.42,14.47,86.07,0.27,25.39,6954,303,0,31,0,0,0,0,7288,526.53,15.59,6.17,12.1,37.4,17.24,55.6,1.03,26.78,28.51
48,2018-08-02 12:04,16.04,1.11,0,0.55,2.01,17.71,85.1,0.26,25.53,8501,1114,0,17,0,0,0,0,9632,520.6,17.7,5.16,15.64,47.87,20.46,67.49,1.03,26.87,28.41
