tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total cell count,Trans. 700 nm,LED 3 [525 nm],LED 4 [570 nm],LED 5 [610 nm],LED 6 [370 nm],LED 7 [590 nm],LED 8 [470 nm],Pressure,Temp. LEDs,Temp. Sensor
15,2018-07-04 15:26,5.3,0.65,0,0.18,1.13,6.13,85.25,0.23,24.83,2807,654,0,5,0,0,0,0,3467,521.54,8.29,3.93,6.71,21.81,8.82,27,1.02,26.01,26.21
16,2018-07-04 15:26,5.16,0.11,1.15,0.44,1.31,6.86,84.57,0.23,24.87,2737,108,516,13,0,0,0,0,3374,517.4,11.61,2.56,6.17,25.77,9.63,33.73,1.02,26.02,26.37
17,2018-07-04 15:26,4.71,0,0,0.64,1.03,5.35,85.32,0.23,24.93,2497,0,0,19,0,0,0,0,2516,521.94,9.17,3.2,5.2,20.3,8.14,26.46,1.02,26.05,26.46
18,2018-07-04 15:26,5.79,0.3,0,0.36,1.18,6.44,85.46,0.24,25.02,3068,301,0,11,0,0,0,0,3379,522.8,8.98,3.43,6.1,23.22,8.96,29.62,1.02,26.17,26.69
19,2018-07-04 15:26,5,0.21,0.09,0.36,1.05,5.65,85.27,0.22,25.06,2649,209,40,11,0,0,0,0,2909,521.66,8.5,2.38,5.34,20.62,8.17,26.46,1.02,26.18,26.86
20,2018-07-04 15:26,7.24,0.58,0.69,0,1.17,8.5,85.9,0.24,25.12,3835,576,311,0,0,0,0,0,4723,525.51,10.01,2.77,7.53,25.64,9.91,34.63,1.02,26.21,26.86
21,2018-07-04 15:26,10.86,0,2.08,0.21,1.36,13.15,85.63,0.23,25.18,5756,0,938,6,0,0,0,0,6700,523.84,15.04,5.22,8.82,35.07,12.54,52.58,1.02,26.32,26.98
22,2018-07-04 15:26,6.55,0,6.88,0.13,1.49,13.56,85.9,0.23,25.14,3473,0,3096,4,0,0,0,0,6573,525.54,22.64,5.88,9.74,38.58,13.95,59.22,1.02,26.32,27.07
23,2018-07-04 15:26,9.12,0.14,6.76,0.18,1.69,16.2,84.91,0.24,25.28,4836,137,3043,5,0,0,0,0,8022,519.48,24.54,5.73,12.51,44.47,16.17,68.11,1.02,26.67,27.19
24,2018-07-04 15:26,17.36,0,6.79,0,0.78,24.15,85.89,0.23,25.55,9201,0,3057,0,0,0,0,0,12258,525.46,24.95,6.05,12.12,43.22,17.6,83.28,1.02,26.45,27.68
25,2018-07-04 15:26,15.81,0,8.45,0,1,24.25,86.07,0.24,25.59,8377,0,3801,0,0,0,0,0,12178,526.58,28.13,6.05,13.05,46.62,18.77,86.92,1.02,26.57,27.97
26,2018-07-04 15:26,11.85,0.63,0,0.32,1.23,12.79,84.53,0.22,25.62,6279,626,0,10,0,0,0,0,6914,517.13,12.22,4.52,10.81,32.12,13.81,46.99,1.02,26.61,27.95
27,2018-07-04 15:26,13.29,0,2.91,0.31,1.44,16.51,84.66,0.23,25.68,7044,0,1310,9,0,0,0,0,8363,517.94,18.44,4.63,10.59,40.85,16.13,63.75,1.02,26.62,28.02
28,2018-07-04 15:26,7.66,0,2.58,0.62,1.08,10.85,85.94,0.23,25.77,4058,0,1159,19,0,0,0,0,5235,525.75,15.58,4.32,8.52,29.09,12.66,44.63,1.02,26.73,28.08
29,2018-07-04 15:26,9.39,0,2.64,0.09,0.78,12.12,86.71,0.23,25.74,4975,0,1188,3,0,0,0,0,6166,530.47,13.5,3.93,7.74,26.82,11.3,44.36,1.02,26.87,28.19
30,2018-07-04 15:26,6.74,0,1.87,0.45,1.15,9.07,86.42,0.21,25.92,3574,0,842,14,0,0,0,0,4429,528.68,13.23,2.9,6.74,27.13,11.1,39.34,1.02,26.91,28.23
31,2018-07-04 15:26,2.63,0.72,0,0.35,1,3.71,86,0.21,25.89,1396,724,0,11,0,0,0,0,2131,526.15,7.64,1.7,5.21,17.01,8.8,19.18,1.02,26.87,28.4
32,2018-07-04 15:26,6.68,0,1.64,0.5,1.29,8.81,85.86,0.23,25.96,3538,0,739,15,0,0,0,0,4292,525.27,13.34,4.47,7.58,28.54,10.27,39.87,1.02,26.8,28.46
33,2018-07-04 15:26,1.92,0.51,0.14,0.34,1.09,2.91,85.92,0.21,25.89,1018,515,64,10,0,0,0,0,1606,525.62,7.56,3.21,5.05,17.21,6.72,18.38,1.02,27.08,28.35
34,2018-07-04 15:26,3.13,0.65,0.6,0,0.96,4.38,86.11,0.23,25.93,1659,647,272,0,0,0,0,0,2578,526.8,7.45,3.28,5.53,17.5,6.78,20.75,1.02,27.03,28.63
35,2018-07-04 15:26,7.54,0.64,0,0.13,1.19,8.31,85.42,0.24,25.97,3997,636,0,4,0,0,0,0,4637,522.57,9.14,3.82,7.34,25.52,10.55,33.7,1.02,27.03,28.5
36,2018-07-04 15:26,5.5,0.19,0,0.56,1.14,6.25,86.36,0.21,26.06,2915,191,0,17,0,0,0,0,3123,528.33,9.39,4.01,6.14,22.68,9.17,29.29,1.02,27.09,28.68
37,2018-07-04 15:26,9.12,0,1.95,0.38,1.23,11.44,86.25,0.22,26.12,4834,0,876,11,0,0,0,0,5721,527.68,14.34,5.33,8.47,31.28,11.64,46.67,1.02,27.29,28.78
38,2018-07-04 15:26,11.19,0,2.11,0.87,1.55,14.16,85.64,0.22,26.07,5929,0,950,26,0,0,0,0,6905,523.95,18.51,4.91,10.89,39.17,16.27,58.47,1.02,27.07,28.78
39,2018-07-04 15:26,5.69,0,1.05,0.77,1.21,7.51,86.54,0.22,26.07,3016,0,473,23,0,0,0,0,3512,529.42,12.61,3.35,6.88,25.75,10.74,35.37,1.02,27.17,28.71
40,2018-07-04 15:26,5.64,0.44,0,0.46,1.14,6.53,85.19,0.23,26.09,2988,438,0,14,0,0,0,0,3439,521.18,9.33,3.45,6.5,22.9,10.01,29.37,1.02,27.17,28.75
41,2018-07-04 15:26,3.15,0.37,0.64,0,0.94,4.16,86.76,0.21,26.17,1670,370,286,0,0,0,0,0,2327,530.79,7.16,2.35,4.43,17.06,6.05,20.61,1.02,27.22,28.84
42,2018-07-04 15:26,3.24,0.02,0,0.74,1.06,4.01,85.96,0.22,26.18,1720,22,0,22,0,0,0,0,1764,525.86,8.77,2.65,4.41,18.95,8.26,23.07,1.02,27.31,28.93
43,2018-07-04 15:26,5.15,0,2.1,1,1.13,8.25,86.58,0.23,26.19,2730,0,946,30,0,0,0,0,3705,529.64,15.22,3.91,8.09,26.36,12.24,38.1,1.02,27.32,28.93
44,2018-07-04 15:26,6.63,0.1,0,1.09,1.33,7.81,86.8,0.22,26.25,3512,99,0,33,0,0,0,0,3644,531,12.59,4.72,8.28,27.51,11.92,36.72,1.02,27.27,28.93
46,2018-07-04 15:26,14.4,0,23.89,0,2.21,38.29,83.7,0.22,26.23,7634,0,10751,0,0,0,0,0,18384,512.03,61.32,11.3,21.93,83.97,31.62,153.17,1.02,27.28,29.03
47,2018-07-04 15:26,6.51,0,6.44,0,1.26,12.95,85.1,0.21,26.28,3450,0,2900,0,0,0,0,0,6350,520.63,20.59,5.2,8.67,34.75,12.91,54.68,1.02,27.27,29.24
48,2018-07-04 15:26,11.87,0,4.87,0.49,1.4,17.23,85.51,0.21,26.25,6291,0,2192,15,0,0,0,0,8497,523.14,22.24,7.15,11.43,42.1,17.48,67.55,1.02,27.29,29.28
45,2018-07-04 15:26,5.07,0.3,2.08,0,0.95,7.45,86.34,0.22,26.24,2689,299,936,0,0,0,0,0,3924,528.2,10.92,2.75,6.6,22.2,8.24,31.52,1.02,27.36,29.09
