tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total cell count,Trans. 700 nm,LED 3 [525 nm],LED 4 [570 nm],LED 5 [610 nm],LED 6 [370 nm],LED 7 [590 nm],LED 8 [470 nm],Pressure,Temp. LEDs,Temp. Sensor
,date,?g/l,?g/l,?g/l,?g/l,r.u.,?g/l,%,m,?C,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,r.u.,cells/ml,digits,digits,digits,digits,digits,digits,digits,bar,?C,?C
10,2018-08-21 17:25,17.94,0.45,0,0.5,1.71,18.88,85.98,0.27,24.21,9506,452,0,15,0,0,0,0,9973,526.03,16.3,6.24,13.54,46.38,19.18,69.4,1.03,25.49,25.2
11,2018-08-21 17:25,30.4,0.09,0,0.49,2.31,30.98,84.33,0.26,24.33,16114,87,0,15,0,0,0,0,16215,515.89,23.2,7.42,19.75,70.02,26.59,109.92,1.03,25.57,25.28
12,2018-08-21 17:25,59.04,1,0,0,1.28,60.05,79.69,0.26,24.3,31293,1003,0,0,0,0,0,0,32296,487.52,31.88,11.43,36.69,96.01,46.21,178.1,1.03,25.65,25.32
13,2018-08-21 17:25,47.66,1.35,0,0,1.55,49.01,82.79,0.26,24.48,25259,1351,0,0,0,0,0,0,26610,506.48,26.99,8.87,31.37,84.26,40.76,148.99,1.03,25.62,25.37
14,2018-08-21 17:25,16.2,0,2.42,0.36,0.93,18.98,86.44,0.24,24.51,8587,0,1091,11,0,0,0,0,9689,528.84,17.67,5.05,12.37,37.93,16.88,65.24,1.02,25.76,25.65
15,2018-08-21 17:25,54.56,2.06,0,0,2.04,56.62,80.06,0.24,24.58,28915,2064,0,0,0,0,0,0,30979,489.77,32.34,13.71,36.57,100.02,49,173.24,1.02,25.76,25.69
16,2018-08-21 17:25,17.53,0,1.75,0.12,1.38,19.41,85.97,0.23,24.56,9293,0,789,4,0,0,0,0,10085,525.97,17.14,4.27,11.65,43.56,16.98,69.85,1.02,25.8,25.98
17,2018-08-21 17:25,11.5,0,0,0.09,1.06,11.59,86.51,0.24,24.64,6096,4,0,3,0,0,0,0,6103,529.22,9.88,2.39,7.14,28.62,10.82,43.1,1.02,25.86,25.96
18,2018-08-21 17:25,13.84,0,0,0.78,1.26,14.61,85.87,0.24,24.72,7334,0,0,23,0,0,0,0,7357,525.32,15.11,4.92,10.17,35.38,14.68,55.07,1.02,25.82,25.98
19,2018-08-21 17:25,59.68,3.06,0,0,1.53,62.74,77.56,0.26,24.77,31629,3064,0,0,0,0,0,0,34693,474.5,33.19,15.12,42.22,101.7,56.12,182.9,1.03,25.87,26.1
20,2018-08-21 17:25,20.23,3.34,0,0.23,1.63,23.81,84.73,0.25,24.81,10723,3345,0,7,0,0,0,0,14075,518.34,19,9.06,23.12,50.07,30.49,74.71,1.02,25.87,26.19
21,2018-08-21 17:25,34.6,0.73,0,0.18,1.75,35.51,82.87,0.31,24.77,18338,726,0,6,0,0,0,0,19069,506.96,22.9,9.33,23.07,68.86,29.69,115.01,1.03,25.97,26.27
22,2018-08-21 17:25,33.93,0.6,0,0.21,1.76,34.74,83.91,0.24,24.8,17985,596,0,6,0,0,0,0,18587,513.32,22.21,9.57,21.53,68.21,29.64,113.4,1.02,26.04,26.33
23,2018-08-21 17:25,28.28,0,0,0.91,1.31,29.18,85.2,0.26,24.89,14987,0,0,27,0,0,0,0,15014,521.26,22.52,8.25,18.18,55.63,24.72,96.69,1.03,26.03,26.4
