tank,week_number,temp,wattage,metacommunity,dispersal,ln_GPP_umol_L_h,benthic_chla_g_L,periphyton_chla_g_L,phytoplankton_chla_g_L,cyanobacteria_ugL,cryptophytes_ugL,diatoms_ugL,chlorophytes_ugL,total_fluoro_g_chla_L,total_fluoro_ug_C_L,ln_fluoro_ug_C_L,zoop_raw_g_L,ln_zoop_ug_L,volume,temp_K,inv_kT,inv_kTc,flowcam_particles_mL,diameter_mean,diameter_min,diameter_max,diameter_stdev,volume_mean,volume_min,volume_max,volume_stdev,carbon_g,X0_5um,X5_10um,X10_15um,X15_20um,X20_25um,X25_30um,X30_35um,X35_40um,prop_inedible,totalN,slope_size_spectra,CTMI_scaled,CPTI_scaled,ln_gpp_corr,sample_date
24,2,25.54513889,300,6,high,2.081340224,0.010675524,1.57e-05,0.00012,0.97,0.47,0,4.15,5.58e-06,279.5,2.446381812,1e-04,3.80666249,541.2236274,298.6951389,38.83869057,0.12328449,51437,4.58,1.58,26.59,2.8,119.5,0.7,5146,486,5.48e-06,1254.3,801.42,88.8,26.64,13.32,17.76,3.33,3.33,2442,0.98565395,-2.409860413,NA,NA,-0.365041588,6/27/18
25,2,24.41944444,200,7,low,2.210586059,0.006175519,0.00011145,0.0003242,0,0.28,4.82,6.22,1.13e-05,566,2.752816431,1e-04,3.80666249,638.9434952,297.5694444,38.98561593,-0.023640872,55293,6.56,1.67,20.9,2.09,178,0.76,4781.7,268.3,1.61e-05,1201.653,4005.51,235.941,16.461,0,0,0,0,0,1.415748664,-1.928776195,NA,NA,-0.542230372,6/27/18
26,2,25.47159722,300,7,low,2.084896543,0.010123207,3.45e-05,0.0002264,0,1.36,0,6.27,7.63e-06,381.5,2.581494542,0.0034,7.333023014,547.3311192,298.6215972,38.84825539,0.113719669,42888,4.89,2.61,29.12,2.89,64.2,0.62,5656.8,387.9,6.67e-06,2609.928,711.492,20.232,0,23.604,6.744,0,0,674.4,1.850775984,-2.496902817,NA,NA,-0.496597999,6/27/18
27,2,23.99465278,100,7,low,1.880452182,0.006799478,2.35e-05,0.00012,0.8,0.2,0,9.72,1.07e-05,536,2.72916479,3e-04,4.905274778,667.4451234,297.1446528,39.04134894,-0.079373878,55551,5.32,2.43,19.76,2.53,146.7,5,4038.6,390.6,8.59e-06,1680.25,3189.89,222.31,36.19,43.945,0,0,0,0,1.063074089,-1.945464121,NA,NA,-0.848712608,6/27/18
28,2,22.90895833,0,7,low,2.041608121,0.008135678,0.000785587,0.0001582,1.31,0.32,0,2.97,4.6e-06,230,2.361727836,4e-04,5.192956851,679.6601068,296.0589583,39.18451966,-0.222544603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.555270343,NA,NA,NA,-0.320119715,6/27/18
29,2,23.34472222,100,8,high,2.043741999,0.009114422,0.001062275,9.3e-05,0.22,0.92,0,3.51,4.64e-06,232.5,2.366422957,3e-04,4.905274778,658.7341433,296.4947222,39.12692944,-0.164954375,25187,4.97,1.68,22.16,2.59,110.9,0.8,4841.7,390.9,7.01e-06,819.669,967.323,47.325,17.037,17.037,5.679,0,0,567.9,0.492751023,-2.199738916,NA,NA,-0.322680958,6/27/18
30,2,23.86666667,200,8,high,2.071253392,0.00826704,3.97e-05,0.0001434,0.67,0.4,0.17,2.7,3.93e-06,197,2.294466226,2e-04,4.49980967,657.542182,297.0166667,39.05817207,-0.096197009,21863,6.25,3.18,23.36,3.23,222,0.8,6674.8,687.1,1.39e-05,510.54,784.86,143.256,45.72,16.764,16.764,6.096,0,2286,0.711115541,-1.837801764,NA,NA,-0.223212834,6/27/18
31,2,22.06923611,0,8,high,1.531217369,0.00388058,7.95e-06,0.0001046,1.18,0.67,0,1.21,3.06e-06,153,2.184691431,2e-04,4.49980967,780.6312874,295.2192361,39.29597619,-0.334001134,14697,6.3,1.58,19.76,3.09,160.7,0.7,4038.6,379.3,1.43e-05,258.96,302.12,78.352,13.944,10.624,0,0,0,0,1.308712643,-1.528139464,NA,NA,-0.653474062,6/27/18
32,2,24.869375,300,8,high,1.674571485,0.006721483,1.61e-05,9.02e-05,0.93,0.05,0.3,5.08,6.37e-06,318,2.50242712,NA,NA,628.7643424,298.019375,38.92675795,0.035217113,30925,5.18,1.45,23.39,6.65,166.2,0.8,5361.8,579.1,7.93e-06,1159.924,1369.788,209.864,42.54,28.36,22.688,0,0,2268.8,1.297179594,-1.875475084,NA,NA,-0.827855635,6/27/18
33,2,22.09694444,0,9,none,1.764391097,0.005405511,3.48e-05,6.26e-05,0.69,0.44,0,1.8,2.93e-06,146.5,2.165837625,4e-04,5.192956851,746.584277,295.2469444,39.29228835,-0.330313286,5959,7.34,3.35,18.88,4.01,206.14,0.8,3524.7,521,2.26e-05,573.27,242.5,38.315,89.24,25.22,0,0,0,0,3.074341535,-1.348304843,NA,NA,-0.401446528,6/27/18
